KEY,ENGLISH,JAPANESE
RESET,RESET,RESET
CONTINUE,CONTINUE,CONTINUE
LOOK LEFT,LOOK LEFT,LOOK LEFT
LOOK RIGHT,LOOK RIGHT,LOOK RIGHT
LOOK CENTER,LOOK CENTER,LOOK CENTER
SELECT A QUESTION,SELECT A QUESTION,SELECT A QUESTION
HOLD TO SELECT,HOLD TO SELECT,HOLD TO SELECT
CLICK TO SELECT,CLICK TO SELECT,CLICK TO SELECT
CLICK TO BEGIN,CLICK TO BEGIN,CLICK TO BEGIN
SELECT A QUESTION TO BEGIN,SELECT A QUESTION TO BEGIN,SELECT A QUESTION TO BEGIN
USE THE MOUSE TO INTERACT,USE THE MOUSE TO INTERACT,USE THE MOUSE TO INTERACT
How do artists approach engineering?,How do artists approach engineering?,How do artists approach engineering?
What is new about new media?,What is new about new media?,What is new about new media?
What is the future of storytelling?,What is the future of storytelling?,What is the future of storytelling?
What is the future of storytelling?,What is the future of storytelling?,What is the future of storytelling?
What happens when games and cinema converge?,What happens when games and cinema converge?,What happens when games and cinema converge?
Why do humans share stories?,Why do humans share stories?,Why do humans share stories?
How do people communicate now?,How do people communicate now?,How do people communicate now?
What drives technological progress?,What drives technological progress?,What drives technological progress?
What is the future of storytelling?,What is the future of storytelling?,What is the future of storytelling?
How does the crowd become a collaborator?,How does the crowd become a collaborator?,How does the crowd become a collaborator?
Has the internet made us more creative?,Has the internet made us more creative?,Has the internet made us more creative?
How is meaning extracted from big data?,How is meaning extracted from big data?,How is meaning extracted from big data?
What can data tell us about ourselves?,What can data tell us about ourselves?,What can data tell us about ourselves?
Why don't we surf the web in 3D?,Why don't we surf the web in 3D?,Why don't we surf the web in 3D?
What is open source all about?,What is open source all about?,What is open source all about?
How does the crowd become a collaborator?,How does the crowd become a collaborator?,How does the crowd become a collaborator?
How can software enhance real world experiences?,How can software enhance real world experiences?,How can software enhance real world experiences?
How do artists influence the future?,How do artists influence the future?,How do artists influence the future?
How do computer systems imitate biological systems?,How do computer systems imitate biological systems?,How do computer systems imitate biological systems?
Why doesn't science value aesthetics?,Why doesn't science value aesthetics?,Why doesn't science value aesthetics?
How do we make maps of memory?,How do we make maps of memory?,How do we make maps of memory?
Does the field of technology remain male dominated?,Does the field of technology remain male dominated?,Does the field of technology remain male dominated?
Does the field of technology remain male dominated?,Does the field of technology remain male dominated?,Does the field of technology remain male dominated?
What can data visualization teach us?,What can data visualization teach us?,What can data visualization teach us?
Why does society need art?,Why does society need art?,Why does society need art?
How did you start?,How did you start?,How did you start?
How do we use data to tell stories?,How do we use data to tell stories?,How do we use data to tell stories?
What is the lifespan of code?,What is the lifespan of code?,What is the lifespan of code?
What is the medium of our time?,What is the medium of our time?,What is the medium of our time?
What is the new aesthetic?,What is the new aesthetic?,What is the new aesthetic?
What is the shelf life of new media?,What is the shelf life of new media?,What is the shelf life of new media?
What is the future of art and technology?,What is the future of art and technology?,What is the future of art and technology?
How will the camera of the future work?,How will the camera of the future work?,How will the camera of the future work?
What makes an effective interface?,What makes an effective interface?,What makes an effective interface?
What does it feel like to be made of voxels?,What does it feel like to be made of voxels?,What does it feel like to be made of voxels?
Do we live in the future that Cyberpunk predicted?,Do we live in the future that Cyberpunk predicted?,Do we live in the future that Cyberpunk predicted?
What's the ultimate interface?,What's the ultimate interface?,What's the ultimate interface?
What sustains our creativity?,What sustains our creativity?,What sustains our creativity?
Is the net becoming a global brain?,Is the net becoming a global brain?,Is the net becoming a global brain?
What happens when the Singularity arrives?,What happens when the Singularity arrives?,What happens when the Singularity arrives?
What is time?,What is time?,What is time?
How does a design emerge?,How does a design emerge?,How does a design emerge?
What nourishes creativity?,What nourishes creativity?,What nourishes creativity?
How does complexity emerge from simple rules?,How does complexity emerge from simple rules?,How does complexity emerge from simple rules?
How does complexity emerge from simple rules?,How does complexity emerge from simple rules?,How does complexity emerge from simple rules?
How did Processing get started?,How did Processing get started?,How did Processing get started?
How did the Processing community take shape?,How did the Processing community take shape?,How did the Processing community take shape?
Who were the first serious users of Processing?,Who were the first serious users of Processing?,Who were the first serious users of Processing?
What is the shortest program?,What is the shortest program?,What is the shortest program?
What generates randomness?,What generates randomness?,What generates randomness?
Why use code as a design tool?,Why use code as a design tool?,Why use code as a design tool?
How do you make creative decisions?,How do you make creative decisions?,How do you make creative decisions?
Is an artwork ever done?,Is an artwork ever done?,Is an artwork ever done?
What is the history of creative coding?,What is the history of creative coding?,What is the history of creative coding?
What is the history of generative art?,What is the history of generative art?,What is the history of generative art?
What motivated you to learn programming?,What motivated you to learn programming?,What motivated you to learn programming?
When will computers become collaborators?,When will computers become collaborators?,When will computers become collaborators?
How do lifelike behaviors emerge from code?,How do lifelike behaviors emerge from code?,How do lifelike behaviors emerge from code?
How do you build a universe?,How do you build a universe?,How do you build a universe?
Why recreate the world inside a computer?,Why recreate the world inside a computer?,Why recreate the world inside a computer?
What is the missing ingredient?,What is the missing ingredient?,What is the missing ingredient?
What is the future of cinema?,What is the future of cinema?,What is the future of cinema?
What is the new aesthetic?,What is the new aesthetic?,What is the new aesthetic?
How does the world appear in the eyes of a computer?,How does the world appear in the eyes of a computer?,How does the world appear in the eyes of a computer?
Can one person claim ownership of an idea?,Can one person claim ownership of an idea?,Can one person claim ownership of an idea?
Can one person claim ownership of an idea?,Can one person claim ownership of an idea?,Can one person claim ownership of an idea?
How do networks promote cooperation?,How do networks promote cooperation?,How do networks promote cooperation?
How do social scientists use Facebook?,How do social scientists use Facebook?,How do social scientists use Facebook?
How do groups of people think together?,How do groups of people think together?,How do groups of people think together?
How does the eye process information?,How does the eye process information?,How does the eye process information?
What is gestalt?,What is gestalt?,What is gestalt?
How does data reveal the big picture?,How does data reveal the big picture?,How does data reveal the big picture?
Why does data visualization often look very complex?,Why does data visualization often look very complex?,Why does data visualization often look very complex?
What are the cliches of data visualization?,What are the cliches of data visualization?,What are the cliches of data visualization?
How do memes spread?,How do memes spread?,How do memes spread?
How does social media reflect human nature?,How does social media reflect human nature?,How does social media reflect human nature?
How does the scientific method apply to creativity?,How does the scientific method apply to creativity?,How does the scientific method apply to creativity?
What does it mean to be hybrid?,What does it mean to be hybrid?,What does it mean to be hybrid?
How can data become more accessible?,How can data become more accessible?,How can data become more accessible?
How does data reflect desire?,How does data reflect desire?,How does data reflect desire?
How does data reflect desire?,How does data reflect desire?,How does data reflect desire?
What is data?,What is data?,What is data?
What is the starting point for an idea?,What is the starting point for an idea?,What is the starting point for an idea?
Does beauty deceive?,Does beauty deceive?,Does beauty deceive?
How does truth appear?,How does truth appear?,How does truth appear?
What is the value of art?,What is the value of art?,What is the value of art?
Why major in art?,Why major in art?,Why major in art?
What is surprising?,What is surprising?,What is surprising?
Is it possible to engineer the unexpected?,Is it possible to engineer the unexpected?,Is it possible to engineer the unexpected?
How does data convey human emotion?,How does data convey human emotion?,How does data convey human emotion?
What is the lifespan of code?,What is the lifespan of code?,What is the lifespan of code?
How can data become more accessible?,How can data become more accessible?,How can data become more accessible?
Why does society need art?,Why does society need art?,Why does society need art?
What is the shelf life of new media?,What is the shelf life of new media?,What is the shelf life of new media?
What is the current state of artificial intelligence?,What is the current state of artificial intelligence?,What is the current state of artificial intelligence?
What happens when machines surpass human intelligence?,What happens when machines surpass human intelligence?,What happens when machines surpass human intelligence?
What is object oriented ontology?,What is object oriented ontology?,What is object oriented ontology?
What does music look like?,What does music look like?,What does music look like?
How can military technology benefit humanity?,How can military technology benefit humanity?,How can military technology benefit humanity?
How did you start?,How did you start?,How did you start?
How much time do you spend in front of a computer?,How much time do you spend in front of a computer?,How much time do you spend in front of a computer?
What is powerful about Big Data?,What is powerful about Big Data?,What is powerful about Big Data?
Does art need to take itself seriously?,Does art need to take itself seriously?,Does art need to take itself seriously?
Does data lie?,Does data lie?,Does data lie?
What is truth?,What is truth?,What is truth?
How can data become more accessible?,How can data become more accessible?,How can data become more accessible?
How can technology promote empathy?,How can technology promote empathy?,How can technology promote empathy?
What societal issues can designers address?,What societal issues can designers address?,What societal issues can designers address?
What does data tell us about ourselves?,What does data tell us about ourselves?,What does data tell us about ourselves?
How do we make maps of memory?,How do we make maps of memory?,How do we make maps of memory?
What makes a satisfying interaction?,What makes a satisfying interaction?,What makes a satisfying interaction?
Can the NSA track your location?,Can the NSA track your location?,Can the NSA track your location?
Why should software be free?,Why should software be free?,Why should software be free?
Why is commercial software so expensive?,Why is commercial software so expensive?,Why is commercial software so expensive?
Why should software be free?,Why should software be free?,Why should software be free?
How do open source coders earn a living?,How do open source coders earn a living?,How do open source coders earn a living?
What does the ideal creative network look like?,What does the ideal creative network look like?,What does the ideal creative network look like?
Why should software be free?,Why should software be free?,Why should software be free?
How does a depth camera work?,How does a depth camera work?,How does a depth camera work?
How do you become a hacker?,How do you become a hacker?,How do you become a hacker?
How do videogames change the way we see?,How do videogames change the way we see?,How do videogames change the way we see?
What is the Scenius?,What is the Scenius?,What is the Scenius?
Are collectives more creative than individuals working alone?,Are collectives more creative than individuals working alone?,Are collectives more creative than individuals working alone?
Are we alone together?,Are we alone together?,Are we alone together?
Where do you find immersion?,Where do you find immersion?,Where do you find immersion?
What is immersive?,What is immersive?,What is immersive?
What defines this community?,What defines this community?,What defines this community?
What is CLOUDS?,What is CLOUDS?,What is CLOUDS?
Can technology help connect people?,Can technology help connect people?,Can technology help connect people?
How are we shaped by technology?,How are we shaped by technology?,How are we shaped by technology?
Who owns the Internet?,Who owns the Internet?,Who owns the Internet?
What's the medium of our time?,What's the medium of our time?,What's the medium of our time?
What's the idea behind critical engineering?,What's the idea behind critical engineering?,What's the idea behind critical engineering?
What's wrong with seamless technologies?,What's wrong with seamless technologies?,What's wrong with seamless technologies?
What is open source all about?,What is open source all about?,What is open source all about?
What is anonymous?,What is anonymous?,What is anonymous?
What does the internet look like?,What does the internet look like?,What does the internet look like?
Where are we going?,Where are we going?,Where are we going?
What's the future of computing?,What's the future of computing?,What's the future of computing?
What's the limit of open source?,What's the limit of open source?,What's the limit of open source?
How did you start?,How did you start?,How did you start?
How did 8-bit games influence this generation?,How did 8-bit games influence this generation?,How did 8-bit games influence this generation?
What is code?,What is code?,What is code?
What does it feel like to program?,What does it feel like to program?,What does it feel like to program?
Do hackers pose a real threat?,Do hackers pose a real threat?,Do hackers pose a real threat?
What is code?,What is code?,What is code?
What's the size of the internet?,What's the size of the internet?,What's the size of the internet?
How does this story end?,How does this story end?,How does this story end?
How is digital history preserved?,How is digital history preserved?,How is digital history preserved?
Is the net becoming a global brain?,Is the net becoming a global brain?,Is the net becoming a global brain?
Are we getting smarter?,Are we getting smarter?,Are we getting smarter?
How have algorithms tranformed the experience of art?,How have algorithms tranformed the experience of art?,How have algorithms tranformed the experience of art?
What is the ultimate artform?,What is the ultimate artform?,What is the ultimate artform?
When will computers attain self-awareness?,When will computers attain self-awareness?,When will computers attain self-awareness?
What is the New Aesthetic?,What is the New Aesthetic?,What is the New Aesthetic?
What is media art?,What is media art?,What is media art?
Is virtual reality a place we want to inhabit?,Is virtual reality a place we want to inhabit?,Is virtual reality a place we want to inhabit?
How will future archaeologists learn about our civilization?,How will future archaeologists learn about our civilization?,How will future archaeologists learn about our civilization?
How have multiplayer games shaped the next generation of artists?,How have multiplayer games shaped the next generation of artists?,How have multiplayer games shaped the next generation of artists?
How do algorithms alter reality?,How do algorithms alter reality?,How do algorithms alter reality?
How would an anthropologist identify this tribe?,How would an anthropologist identify this tribe?,How would an anthropologist identify this tribe?
What's the difference between art and engineering?,What's the difference between art and engineering?,What's the difference between art and engineering?
Why do we find smart sensors spooky?,Why do we find smart sensors spooky?,Why do we find smart sensors spooky?
When did machine vision become cool?,When did machine vision become cool?,When did machine vision become cool?
If you stare at the screen will you go blind?,If you stare at the screen will you go blind?,If you stare at the screen will you go blind?
What's the hacker ethos?,What's the hacker ethos?,What's the hacker ethos?
Do hackers pose a real threat to society?,Do hackers pose a real threat to society?,Do hackers pose a real threat to society?
Do hackers pose a real threat to society?,Do hackers pose a real threat to society?,Do hackers pose a real threat to society?
Who has the answer?,Who has the answer?,Who has the answer?
How do computers see the world?,How do computers see the world?,How do computers see the world?
What does it feel like to be a pointcloud?,What does it feel like to be a pointcloud?,What does it feel like to be a pointcloud?
How do people communicate now?,How do people communicate now?,How do people communicate now?
How do people communicate now?,How do people communicate now?,How do people communicate now?
How do people communicate now?,How do people communicate now?,How do people communicate now?
Where's the line between real and virtual?,Where's the line between real and virtual?,Where's the line between real and virtual?
Where do fashion and technology meet?,Where do fashion and technology meet?,Where do fashion and technology meet?
How can design address problems of distraction?,How can design address problems of distraction?,How can design address problems of distraction?
Are we alone together?,Are we alone together?,Are we alone together?
How does your avatar differ from your real world self?,How does your avatar differ from your real world self?,How does your avatar differ from your real world self?
How does this story begin?,How does this story begin?,How does this story begin?
What's the highest aim of software?,What's the highest aim of software?,What's the highest aim of software?
How does data encapsulate identity?,How does data encapsulate identity?,How does data encapsulate identity?
Should we take better care to secure personal data?,Should we take better care to secure personal data?,Should we take better care to secure personal data?
Should we be concerned about privacy of information?,Should we be concerned about privacy of information?,Should we be concerned about privacy of information?
When you die what happens to your online identity?,When you die what happens to your online identity?,When you die what happens to your online identity?
When you die what happens to your online identity?,When you die what happens to your online identity?,When you die what happens to your online identity?
What's the difference between data and biological memory?,What's the difference between data and biological memory?,What's the difference between data and biological memory?
Is internet art exhibited in galleries?,Is internet art exhibited in galleries?,Is internet art exhibited in galleries?
Who deserves credit for the idea?,Who deserves credit for the idea?,Who deserves credit for the idea?
What's the hacker ethos?,What's the hacker ethos?,What's the hacker ethos?
What is a computer?,What is a computer?,What is a computer?
What's the lifespan of code?,What's the lifespan of code?,What's the lifespan of code?
Does meaning transcend medium?,Does meaning transcend medium?,Does meaning transcend medium?
Why keep it simple?,Why keep it simple?,Why keep it simple?
What's new in new media?,What's new in new media?,What's new in new media?
How does one pay homage to mentors?,How does one pay homage to mentors?,How does one pay homage to mentors?
Where does ambition come from?,Where does ambition come from?,Where does ambition come from?
How do you think about time?,How do you think about time?,How do you think about time?
Are you still an artist if you stop making things?,Are you still an artist if you stop making things?,Are you still an artist if you stop making things?
What comes after digital?,What comes after digital?,What comes after digital?
Do we suffer from being constantly connected?,Do we suffer from being constantly connected?,Do we suffer from being constantly connected?
Where's the line between design and art?,Where's the line between design and art?,Where's the line between design and art?
How does digital art relate to the analog world?,How does digital art relate to the analog world?,How does digital art relate to the analog world?
What comes after digital?,What comes after digital?,What comes after digital?
What questions are you asking?,What questions are you asking?,What questions are you asking?
What is Clouds?,What is Clouds?,What is Clouds?
How does music influence visual expression?,How does music influence visual expression?,How does music influence visual expression?
What hasn't been done yet?,What hasn't been done yet?,What hasn't been done yet?
What will happen when the Singularity arrives?,What will happen when the Singularity arrives?,What will happen when the Singularity arrives?
How is randomness a useful tool?,How is randomness a useful tool?,How is randomness a useful tool?
Where does abstraction originate?,Where does abstraction originate?,Where does abstraction originate?
Is an artwork ever done?,Is an artwork ever done?,Is an artwork ever done?
Is a generative artwork ever truly done?,Is a generative artwork ever truly done?,Is a generative artwork ever truly done?
Is a generative artwork ever truly done?,Is a generative artwork ever truly done?,Is a generative artwork ever truly done?
Do we fetishize newness?,Do we fetishize newness?,Do we fetishize newness?
Has technology made traditional arts and crafts obsolete?,Has technology made traditional arts and crafts obsolete?,Has technology made traditional arts and crafts obsolete?
What is the new aesthetic?,What is the new aesthetic?,What is the new aesthetic?
What makes lolz go viral?,What makes lolz go viral?,What makes lolz go viral?
What's the speed of information?,What's the speed of information?,What's the speed of information?
How does content go viral?,How does content go viral?,How does content go viral?
Why keep it simple?,Why keep it simple?,Why keep it simple?
What is powerful about Big Data?,What is powerful about Big Data?,What is powerful about Big Data?
What is powerful about Big Data?,What is powerful about Big Data?,What is powerful about Big Data?
How can visualization help us understand complexity?,How can visualization help us understand complexity?,How can visualization help us understand complexity?
How does the computer help us grasp infinity?,How does the computer help us grasp infinity?,How does the computer help us grasp infinity?
What are the limits of open source?,What are the limits of open source?,What are the limits of open source?
Where's the line between creative appropriation and theft?,Where's the line between creative appropriation and theft?,Where's the line between creative appropriation and theft?
How do you know whether something is good?,How do you know whether something is good?,How do you know whether something is good?
What is the code of life?,What is the code of life?,What is the code of life?
Does technology need to be useful?,Does technology need to be useful?,Does technology need to be useful?
How does code become tangible?,How does code become tangible?,How does code become tangible?
How does programming change the way you think?,How does programming change the way you think?,How does programming change the way you think?
How do you build a universe?,How do you build a universe?,How do you build a universe?
When does code become poetry?,When does code become poetry?,When does code become poetry?
What is code?,What is code?,What is code?
How does programming change the way you think?,How does programming change the way you think?,How does programming change the way you think?
Does nature compute?,Does nature compute?,Does nature compute?
What is a computer?,What is a computer?,What is a computer?
What is computation?,What is computation?,What is computation?
How does software stand the test of time?,How does software stand the test of time?,How does software stand the test of time?
Will media art ever go mainstream?,Will media art ever go mainstream?,Will media art ever go mainstream?
Does technology lead to a brighter future?,Does technology lead to a brighter future?,Does technology lead to a brighter future?
How do you sketch with code?,How do you sketch with code?,How do you sketch with code?
What comes after digital?,What comes after digital?,What comes after digital?
What comes after digital?,What comes after digital?,What comes after digital?
How do you sketch with code?,How do you sketch with code?,How do you sketch with code?
"How do you ""sketch"" with code?","How do you ""sketch"" with code?","How do you ""sketch"" with code?"
Why keep it simple?,Why keep it simple?,Why keep it simple?
What is open source all about?,What is open source all about?,What is open source all about?
How does music influence the image?,How does music influence the image?,How does music influence the image?
How did you start?,How did you start?,How did you start?
How does programming become addictive?,How does programming become addictive?,How does programming become addictive?
what can you make with a computer that's impossible by hand?,what can you make with a computer that's impossible by hand?,what can you make with a computer that's impossible by hand?
How do computers speed up the creative process?,How do computers speed up the creative process?,How do computers speed up the creative process?
what can you make with a computer that you can't accomplish by hand?,what can you make with a computer that you can't accomplish by hand?,what can you make with a computer that you can't accomplish by hand?
How can math simulate natural phenomena?,How can math simulate natural phenomena?,How can math simulate natural phenomena?
How do you build a universe?,How do you build a universe?,How do you build a universe?
How do you build a universe?,How do you build a universe?,How do you build a universe?
How is randomness useful as a tool?,How is randomness useful as a tool?,How is randomness useful as a tool?
How do computer programs simulate evolution?,How do computer programs simulate evolution?,How do computer programs simulate evolution?
How do computer programs simulate evolution?,How do computer programs simulate evolution?,How do computer programs simulate evolution?
What is open source all about?,What is open source all about?,What is open source all about?
How is code beautiful?,How is code beautiful?,How is code beautiful?
How does the computer enhance creativity?,How does the computer enhance creativity?,How does the computer enhance creativity?
How does software simulate nature?,How does software simulate nature?,How does software simulate nature?
Does gambling take skill?,Does gambling take skill?,Does gambling take skill?
How do genetic algorithms work?,How do genetic algorithms work?,How do genetic algorithms work?
How does a monkey write Shakespeare?,How does a monkey write Shakespeare?,How does a monkey write Shakespeare?
Why the obsession with cats?,Why the obsession with cats?,Why the obsession with cats?
How do we manage the flood of data?,How do we manage the flood of data?,How do we manage the flood of data?
What inspires you?,What inspires you?,What inspires you?
What's the long term impact?,What's the long term impact?,What's the long term impact?
What's addictive about the process?,What's addictive about the process?,What's addictive about the process?
What's most frustrating in the process?,What's most frustrating in the process?,What's most frustrating in the process?
What happens when the novelty wears off?,What happens when the novelty wears off?,What happens when the novelty wears off?
Where is there room for innovation?,Where is there room for innovation?,Where is there room for innovation?
How can technology create an immersive experience?,How can technology create an immersive experience?,How can technology create an immersive experience?
How does experimentation lead to innovation?,How does experimentation lead to innovation?,How does experimentation lead to innovation?
Does new media have a place in contemporary art?,Does new media have a place in contemporary art?,Does new media have a place in contemporary art?
What's wrong with contemporary art?,What's wrong with contemporary art?,What's wrong with contemporary art?
How do you predict the future?,How do you predict the future?,How do you predict the future?
What is a new media artist?,What is a new media artist?,What is a new media artist?
What's the function of humor?,What's the function of humor?,What's the function of humor?
What is your wellspring?,What is your wellspring?,What is your wellspring?
What is creativity?,What is creativity?,What is creativity?
How is play essential to the process?,How is play essential to the process?,How is play essential to the process?
How does art imitate life?,How does art imitate life?,How does art imitate life?
What's challenging about commercial work?,What's challenging about commercial work?,What's challenging about commercial work?
How does your artwork respond to current events?,How does your artwork respond to current events?,How does your artwork respond to current events?
How do you engage audiences?,How do you engage audiences?,How do you engage audiences?
Why do humans create stories?,Why do humans create stories?,Why do humans create stories?
What binds you to this community?,What binds you to this community?,What binds you to this community?
What holds the community together?,What holds the community together?,What holds the community together?
How does open source apply to non-digital culture ?,How does open source apply to non-digital culture ?,How does open source apply to non-digital culture ?
What was the gateway drug to creative coding?,What was the gateway drug to creative coding?,What was the gateway drug to creative coding?
How did you become a media artist?,How did you become a media artist?,How did you become a media artist?
Why collaborate?,Why collaborate?,Why collaborate?
How do you know when it's working?,How do you know when it's working?,How do you know when it's working?
What's enjoyable about programmming?,What's enjoyable about programmming?,What's enjoyable about programmming?
How did this community originate?,How did this community originate?,How did this community originate?
Before the internet existed,Before the internet existed,Before the internet existed
When does code become poetry?,When does code become poetry?,When does code become poetry?
What's the origin of openFrameworks?,What's the origin of openFrameworks?,What's the origin of openFrameworks?
What barriers stand in the way of learning to code?,What barriers stand in the way of learning to code?,What barriers stand in the way of learning to code?
How does drawing change the way you see?,How does drawing change the way you see?,How does drawing change the way you see?
What is the value of programming as a creative discipline?,What is the value of programming as a creative discipline?,What is the value of programming as a creative discipline?
Who were the pioneers of sharing code?,Who were the pioneers of sharing code?,Who were the pioneers of sharing code?
When did sharing code become popular?,When did sharing code become popular?,When did sharing code become popular?
When does an experiment become an artwork?,When does an experiment become an artwork?,When does an experiment become an artwork?
When is an artwork done?,When is an artwork done?,When is an artwork done?
What is the ultimate artform?,What is the ultimate artform?,What is the ultimate artform?
How did you start?,How did you start?,How did you start?
Do hackers pose a real threat?,Do hackers pose a real threat?,Do hackers pose a real threat?
Does the network promote creativity?,Does the network promote creativity?,Does the network promote creativity?
What does music look like?,What does music look like?,What does music look like?
Is it possible to truly simulate reality?,Is it possible to truly simulate reality?,Is it possible to truly simulate reality?
How do you create a digital universe?,How do you create a digital universe?,How do you create a digital universe?
How do you sketch with code?,How do you sketch with code?,How do you sketch with code?
How does the network accelerate creativity?,How does the network accelerate creativity?,How does the network accelerate creativity?
Do computers make us smarter?,Do computers make us smarter?,Do computers make us smarter?
How does academic research inform creative technology ?,How does academic research inform creative technology ?,How does academic research inform creative technology ?
What's the ultimate interface?,What's the ultimate interface?,What's the ultimate interface?
What is the camera of the future?,What is the camera of the future?,What is the camera of the future?
What does it feel like to program?,What does it feel like to program?,What does it feel like to program?
How can the logic of coding be creative?,How can the logic of coding be creative?,How can the logic of coding be creative?
Is programming a waste of time?,Is programming a waste of time?,Is programming a waste of time?
What is open source all about?,What is open source all about?,What is open source all about?
Have we hacked reality?,Have we hacked reality?,Have we hacked reality?
What makes a satisfying interaction?,What makes a satisfying interaction?,What makes a satisfying interaction?
How did you start?,How did you start?,How did you start?
When is an artwork done?,When is an artwork done?,When is an artwork done?
What does music look like?,What does music look like?,What does music look like?
What's the size of the internet?,What's the size of the internet?,What's the size of the internet?
What will the internet become?,What will the internet become?,What will the internet become?
When will machines become smarter than humans?,When will machines become smarter than humans?,When will machines become smarter than humans?
