visualssytem_id,title
25019,AICmontage.mov
25021,Alice.mov
25023,bridge.mov
25030,Cascade.mov
25044,D3-AAPL.mov
25045,D3-dial.mov
25046,D3-Radial.mov
25057,dancing1.mov
25059,DataTimeline.mov
25061,DesignByNumbers.mov
25082,Exoplanets
25083,EyebeamSpinning1.mov
25087,FaceShift-noise.mov
25088,FaceSub-lowSat.mov
25091,Flow2-Blue.mov
25092,Flow5-Blue.mov
25093,GitHub2.mov
25100,Gource.mov
25101,GreenPoint-bike-crop.mov
25119,ITP-1
25120,ITP-2
25121,ITP-3
25122,ITP-4
25123,ITP-5
25124,JapaneseSlow2.mov
25139,Kittenstep.mov
25140,KoblinMedium.mov
25176,Logo1.mov
25177,Logo2.mov
25184,NetworkFlow2.mov
25186,OpenPaths.mov
25193,Reas-network1.mov
25194,Reas-Process13.mov
25196,ShinyAll.mov
25199,Soho2-short.mov
25202,TeensSlow.mov
25205,Tokyo1.mov
25206,Tokyo2.mov
25207,TokyoEscalator.mov
25212,tunnel
25213,TweakMode.mov
25214,unionsq3-short.mov
25215,zipcode.mov